Treatment,Herb,Rep,EU,AMATU_EFF,CHEAL_EFF,AMATU_1,AMATU_2,AMATU_Bio
1,Nontreated,1,101,0,0,18,36,56.04
1,Nontreated,2,204,0,0,23,15,42.13
1,Nontreated,3,308,0,0,16,24,54.76
1,Nontreated,4,412,0,0,5,0,5.12
2,Tricor DF,1,102,85,100,2,4,2.26
2,Tricor DF,2,209,80,95,1,1,0.65
2,Tricor DF,3,312,86,100,2,1,0.22
2,Tricor DF,4,401,100,80,0,0,0
3,Pursuit,1,103,,100,,,
3,Pursuit,2,205,0,100,21,37,52.91
3,Pursuit,3,307,0,100,18,32,62.3
3,Pursuit,4,405,0,100,14,18,48.24
4,Spartan,1,104,87,100,1,1,0.18
4,Spartan,2,206,95,100,0,0,0
4,Spartan,3,311,100,100,0,0,0
4,Spartan,4,407,,80,,,
5,Valor SX,1,105,89,100,1,1,4.05
5,Valor SX,2,210,89,100,1,0,0.54
5,Valor SX,3,306,84,100,1,1,0.68
5,Valor SX,4,410,100,85,0,0,0
6,Warrant,1,106,100,,1,0,0
6,Warrant,2,207,100,10,0,0,0
6,Warrant,3,302,85,0,3,1,0.16
6,Warrant,4,404,100,25,1,0,0.47
7,Dual II Magnum,1,107,86,25,1,0,4.76
7,Dual II Magnum,2,201,,0,,,
7,Dual II Magnum,3,310,98,0,0,0,0
7,Dual II Magnum,4,409,100,35,1,0,0.05
8,Outlook,1,108,90,25,0,0,0
8,Outlook,2,202,85,0,3,10,3.28
8,Outlook,3,304,75,80,1,2,0.19
8,Outlook,4,408,100,75,1,2,1.53
9,Zidua,1,109,100,85,0,0,0
9,Zidua,2,203,85,88,1,3,0.01
9,Zidua,3,301,91,75,4,2,0.18
9,Zidua,4,403,100,85,0,0,0
10,Authority Assist,1,110,85,100,1,0,0.19
10,Authority Assist,2,208,87,100,1,2,4.42
10,Authority Assist,3,309,86,100,1,0,0.01
10,Authority Assist,4,406,100,100,0,0,0
11,Broadaxe XC,1,111,100,88,1,1,1.46
11,Broadaxe XC,2,212,100,95,0,0,0
11,Broadaxe XC,3,303,89,100,2,1,0.14
11,Broadaxe XC,4,402,87,100,2,1,0.05
12,Fierce,1,112,100,100,0,0,21.14
12,Fierce,2,211,100,100,0,0,0
12,Fierce,3,305,89,100,1,2,0.65
12,Fierce,4,411,100,100,0,0,0
