"","Herb","response","SE","df","lower.CL","upper.CL",".group","SOA"
"1","Spartan",0,0,28.9074621338508,0,1.81999096055221," a ","14"
"2","Zidua",0.0171783008588991,0.154551070703225,25.2902281987186,0,1.80807883910412," a ","15"
"3","Warrant",0.0736532730020052,0.320020604463409,25.2902281987186,0,2.20514650108577," a ","15"
"4","Broadaxe XC",0.203869663324228,0.532424729173541,25.2902281987185,0,2.77256296397648," a ","14 + 15"
"5","Authority Assist",0.435029121675296,0.777751900490249,25.290228198718,0,3.508689344458," a ","2 + 14"
"6","Tricor DF",0.482537576583251,0.81911991547241,25.2902281987186,0,3.64134727175448," a ","5"
"7","Dual II Magnum",0.662634595893637,1.09620664956677,28.9074621338508,0,4.80188994690843," a ","15"
"8","Outlook",0.758596845152413,1.02704017398787,25.2902281987185,0,4.3453772882339," a ","15"
"9","Valor SX",0.797417400484799,1.05299126826447,25.2902281987186,0,4.43761403930373," a ","14"
"10","Fierce",1.82523568564348,1.59309396121466,25.2902281987186,0.018887178837531,6.57714772487901," a ","14 + 15"
"11","Nontreated",34.9265967359702,6.96883289469115,25.2902281987186,22.0551455385618,50.7436114658083,"  b","none"
"12","Pursuit",56.8028059122694,10.1493977716459,28.9074621338508,37.939019230308,79.4604910526985,"  b","2"
